0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
32,17,17,17,17,17,17,17,17,17,17,17,17,17,17,18
32,97,98,98,98,98,98,98,98,98,98,98,98,98,99,18
32,113,130,106,106,106,106,106,106,106,106,106,106,106,115,18
32,113,106,106,106,106,106,106,106,106,106,106,106,106,115,18
32,113,106,106,106,106,106,106,106,106,106,106,106,106,115,18
32,113,106,106,106,106,106,106,106,106,106,106,106,106,115,18
32,113,106,106,106,106,106,106,106,114,114,106,106,106,115,18
32,113,106,106,106,106,106,106,106,106,106,106,106,106,115,18
32,113,106,106,106,106,106,106,106,106,106,106,106,114,115,18
32,113,114,114,114,114,114,114,114,114,114,114,114,130,115,18
48,113,114,114,114,114,114,114,114,114,114,114,114,114,115,50
